Date,Reference,Value,Merchant,Transaction description,Transaction description 2
30/01/2017,740256418,227.05,travelodge gb0000,Board & Lodging Payments,Homelessness Running Expenditure
30/01/2017,740260362,224.18,haztec international ltd,Vehicle Maintenance,MT Services Account
30/01/2017,740256417,203.30,travelodge gb0000,Board & Lodging Payments,Homelessness Running Expenditure
30/01/2017,740263509,93.07,trainline,Public Transport,Northway and Marston Flood Relief
30/01/2017,740260841,67.50,m p m s,Furniture & Equipment Maintenance & Repairs,Facilities
30/01/2017,740263510,36.72,trainline,Public Transport,Northway and Marston Flood Relief
30/01/2017,740263508,32.74,trainline,Public Transport,Northway and Marston Flood Relief
30/01/2017,740260066,17.43,executive security,Furniture & Equipment Purchase,Homelessness Running Expenditure
30/01/2017,740265208,10.00,www.apm.org.uk,TRAINING EXPENSES,Northway and Marston Flood Relief
30/01/2017,740262455,5.99,screwfix direct,Energy Conservation,Energy Efficiency Grants
31/01/2017,740574695,774.50,travelodge gb0000,Furniture Removals,
31/01/2017,740582846,320.86,www.letsrecycle.com,TRAINING EXPENSES,OBS Administration
31/01/2017,740566711,270.00,river hotel ltd,Board & Lodging Payments,Homelessness Running Expenditure
31/01/2017,740556754,253.17,facebk h3avfb2nv2,Advertising & Publicity,Customer First Programme
31/01/2017,740556768,227.94,linkedin-352 4430763,Furniture & Equipment Purchase,Customer Services
31/01/2017,740582845,160.43,www.letsrecycle.com,TRAINING EXPENSES,OBS Administration
31/01/2017,740922659,145.50,tvlicensing.co.uk,Licences (Non-Transport),Facilities
31/01/2017,741236010,132.90,british a   125875236484,Public Transport,Finance & Admin
31/01/2017,740557589,105.21,facebk agvcgcaxp2,Advertising & Publicity,Rose Hill Community Centre
31/01/2017,740567262,98.53,paypal  bakerrossli,Materials,Museum Of Oxford
31/01/2017,740557696,87.37,facebk  sabhpbjp92,Advertising & Publicity,Universal Credits
31/01/2017,740574889,50.15,tele ecp,Homeless Prevention,Private Lease Scheme
31/01/2017,740546984,37.00,dsa theory test,Training Short Courses,OBS Administration
31/01/2017,740566529,34.05,paperchase,General Stationery Supplies,Lord Mayors Secretariat
31/01/2017,740557697,24.29,facebk  tabhpbjp92,Advertising & Publicity,Universal Credits
31/01/2017,740541986,20.94,amazon uk marketplace,Hardware Purchase,Admin Review business improvement
31/01/2017,740546804,17.47,c brewer  sons,D2D,External Private Sector Works
31/01/2017,740546804,17.47,c brewer  sons,D2D,External Private Sector Works
31/01/2017,740556746,15.00,facebk rvv3uaaj72,Advertising & Publicity,Museum Of Oxford
31/01/2017,740547406,14.22,buildbase limited,General Contracted Services,Home Improvement Agency
31/01/2017,740542376,13.56,amazon uk marketplace,Advertising & Publicity,W and R DCLG recycling reward scheme
31/01/2017,740557748,10.06,facebk tq77ebeyt2,Advertising & Publicity,International Exch - Other
31/01/2017,740567264,6.50,paypal  runningduck,Materials,Museum Of Oxford
31/01/2017,740922502,6.00,www.oxford.gov.uk,Other Miscellaneous Expenses,Dance Development
31/01/2017,740566575,3.15,marksspencer plc,Provisions,Tenants Associations Grants
31/01/2017,740567261,2.00,paypal  buttercupcr,Materials,Museum Of Oxford
31/01/2017,740546764,2.00,co-op group food,Furniture & Equipment Purchase,Homelessness Running Expenditure
31/01/2017,740567263,1.75,paypal  eileenwalte,Materials,Museum Of Oxford
31/01/2017,740556753,1.31,facebk m3avfb2nv2,Advertising & Publicity,Customer First Programme
31/01/2017,740913358,1.20,switchboardfree lqd11,Furniture & Equipment Purchase,Performance and Quality
31/01/2017,740557747,1.18,facebk qq77ebeyt2,Advertising & Publicity,International Exch - Other
31/01/2017,740557588,1.10,facebk bgvcgcaxp2,Advertising & Publicity,Youth Ambition Programme
31/01/2017,740566530,-2.00,paperchase,General Stationery Supplies,Lord Mayors Secretariat
31/01/2017,740567265,-32.00,paperchase,Materials,Museum Of Oxford
01/02/2017,741239829,319.00,premier inn44011570,TRAINING EXPENSES,OBS Administration
01/02/2017,740885710,183.50,cosmo oxford,Subsistence,Youth Ambition Programme
01/02/2017,740913685,149.74,tp-oxford sandy lane,Materials,Youth Ambition Programme
01/02/2017,740885622,149.55,asda store 4442,Furniture & Equipment Purchase,Homelessness Running Expenditure
01/02/2017,740906044,148.66,north oxford garag,Vehicle Maintenance,MT Services Account
01/02/2017,740896009,143.64,insightly crm,Software Rental,Active Sports Partnership
01/02/2017,740913769,140.00,the bristol hotel,Subsistence,Management Costs
01/02/2017,740922658,124.80,www.officefurnitureonl,Furniture & Equipment Purchase,Facilities
01/02/2017,740922987,91.20,www.evaq8.co.uk,General Stationery Supplies,Cowley Marsh Depot Costs
01/02/2017,741237801,68.90,gwr oxford to,Public Transport,Universal Credits
01/02/2017,740896129,52.50,gwr pangbourne sst,Public Transport,Finance & Admin
01/02/2017,740896091,47.88,eyre  elliston ltd,D2D,External Private Sector Works
01/02/2017,740885005,25.12,booker limited oxford,General Contracted Services,Dance Development
01/02/2017,741241013,17.95,switchboardfree lqd11,Furniture & Equipment Purchase,Performance and Quality
01/02/2017,740913272,12.40,smith  low ltd,Furniture & Equipment Purchase,Homelessness Running Expenditure
01/02/2017,740913628,11.98,screwfix oxford,Energy Conservation,Energy Efficiency Grants
01/02/2017,740896057,9.49,homebase ltd 091,Furniture & Equipment Purchase,Homelessness Running Expenditure
01/02/2017,740906438,3.00,land registry,General Contracted Services,Tree Maintenance
02/02/2017,741241684,733.62,the fencing centre,Materials,Park Attendants & Facilities
02/02/2017,741243385,128.40,www.youthsportdirect.o,Furniture & Equipment Purchase,Youth Ambition Programme
02/02/2017,741236558,109.72,cherwell dc,Homeless Prevention,Home Choice Scheme
02/02/2017,741237161,89.40,dfsk parts ltd,Vehicle Maintenance,MT Services Account
02/02/2017,741225040,54.99,amazon uk marketplace,Furniture & Equipment Purchase,Health Development
02/02/2017,741238951,43.09,marksspencer plc,Provisions,Finance & Admin
02/02/2017,741239530,39.38,paypal  cleverbagge,Materials,Museum Of Oxford
02/02/2017,741225158,37.15,amazon uk retail amazon.,Furniture & Equipment Purchase,Health Development
02/02/2017,741239541,34.58,paypal  farriersequ,Materials,Museum Of Oxford
02/02/2017,741234764,33.98,amazon uk marketplace,Furniture & Equipment Purchase,Finance & Admin
02/02/2017,741241963,31.37,trainline,Public Transport,Finance & Admin
02/02/2017,741239499,24.50,paypal  canal art,Materials,Museum Of Oxford
02/02/2017,741242926,24.00,wilko retail limit,Furniture & Equipment Purchase,Homelessness Running Expenditure
02/02/2017,741229385,23.35,marksspencer plc,Provisions,Tenants Associations Grants
02/02/2017,741225159,21.57,amazon uk retail amazon.,Furniture & Equipment Purchase,Health Development
02/02/2017,741236903,19.98,currys oxford city 282,Materials,Carbon MAnagement
02/02/2017,741243253,19.08,www.viking-direct.co.u,General Stationery Supplies,Rents Team
02/02/2017,741243253,19.08,www.viking-direct.co.u,General Stationery Supplies,Rents Team
02/02/2017,741239572,15.95,paypal  geoffc9,Materials,Museum Of Oxford
02/02/2017,741225041,15.24,amazon uk marketplace,Furniture & Equipment Purchase,Health Development
02/02/2017,741236791,14.70,costa coffee,Subsistence,Fraud Hub
02/02/2017,741230300,14.10,poundland ltd 1586,Furniture & Equipment Purchase,Tenants Associations Grants
02/02/2017,741225042,9.96,amazon uk marketplace,Furniture & Equipment Purchase,Health Development
02/02/2017,741239547,8.88,paypal  geotones uk,Materials,Museum Of Oxford
02/02/2017,741239742,8.55,post office counter,Postage & Carriage,Administration:
02/02/2017,741241789,6.00,timpson ltd,Furniture & Equipment Purchase,Homelessness Running Expenditure
03/02/2017,741643017,558.60,travelodge gb0000,Board & Lodging Payments,Homelessness Running Expenditure
03/02/2017,741636682,541.00,aylesbury college,Training Short Courses,Corporate Projects Team
03/02/2017,741643541,393.31,www.avpartmaster.net,General Stationery Supplies,Cowley Marsh Depot Costs
03/02/2017,741640928,355.00,oxford291office,Court Fees,Legal Services
03/02/2017,741640929,355.00,oxford291office,Court Fees,Legal Services
03/02/2017,741641479,336.50,premier inn44014645,Board & Lodging Payments,Homelessness Running Expenditure
03/02/2017,741643016,331.55,travelodge gb0000,Board & Lodging Payments,Homelessness Running Expenditure
03/02/2017,741649129,325.00,possessionclaim.go,Court Fees,Rents Team
03/02/2017,741649130,325.00,possessionclaim.go,Court Fees,Rents Team
03/02/2017,741636746,209.75,bma varsity ltd,Rent Allowance Cheques,Syrian
03/02/2017,741643711,186.00,www.reed.co.uk,Temporary Bureau Staffing,Service requests (Env Protection)
03/02/2017,741650707,185.10,techna internation,Furniture & Equipment Purchase,Administration:
03/02/2017,741636683,184.56,aylesbury college,Career Training,Corporate Projects Team
03/02/2017,741641406,91.00,premier inn44013355,TRAINING EXPENSES,OBS Administration
03/02/2017,741640818,75.05,next  0315 oxford,Uniforms,Environmental Enforcement
03/02/2017,741643015,66.50,travelodge gb0000,Board & Lodging Payments,Homelessness Running Expenditure
03/02/2017,741642211,50.99,tesco pfs 2488,"Petrol, Diesel & Oil",Tenants Associations Grants
03/02/2017,741637460,21.00,costa coffee,Community Event,Tenants Associations Grants
03/02/2017,741636267,18.35,apl /001taxis,Public Transport,Tenants Associations Grants
03/02/2017,741636268,17.27,apl /001taxis,Public Transport,Tenants Associations Grants
03/02/2017,741635321,11.98,amazon uk marketplace,General Stationery Supplies,Cowley Marsh Depot Costs
03/02/2017,741636266,5.50,apl /001taxis,Public Transport,Tenants Associations Grants
03/02/2017,741641985,5.50,smith  low ltd,Furniture & Equipment Purchase,Homelessness Running Expenditure
03/02/2017,741636681,-541.00,aylesbury college,Training Short Courses,Corporate Projects Team
04/02/2017,741641102,-4.00,paypal  canal art,Materials,Museum Of Oxford
05/02/2017,741635699,81.96,amazon uk marketplace,Homeless Prevention,Home Choice Scheme
06/02/2017,742070270,350.40,staybridge suites,Conferences,Learning & Development (GF)
06/02/2017,742087208,282.00,www.westminster-briefi,Career Training,Administration:
06/02/2017,742047488,259.20,bigdug limited,Hardware Purchase,Street Cleansing Account
06/02/2017,742070441,90.00,river hotel ltd,Board & Lodging Payments,Homelessness Running Expenditure
06/02/2017,742053703,71.80,capita bus svs-moto,General Contracted Services,Corporate Projects Team
06/02/2017,742087186,54.00,www.thekey.co.uk,Public Transport,Cowley Marsh Depot Costs
06/02/2017,742062302,52.50,gwr pangbourne sst,Public Transport,Finance & Admin
06/02/2017,742070672,25.45,paypal  wetherspoon,Subsistence,Fraud Hub
06/02/2017,742047506,6.99,argos ltd,Furniture & Equipment Purchase,Homelessness Running Expenditure
06/02/2017,742070399,6.99,ryman 1172,Homeless Prevention,Home Choice Scheme
06/02/2017,742061939,4.00,marksspencer plc,Homeless Prevention,Home Choice Scheme
06/02/2017,742080336,-58.90,trainline,Public Transport,Finance & Admin
06/02/2017,742079817,-66.50,travelodge gb0000,Board & Lodging Payments,Homelessness Running Expenditure
06/02/2017,742079818,-282.15,travelodge gb0000,Board & Lodging Payments,Homelessness Running Expenditure
07/02/2017,742363326,925.30,travelodge gb0000,Board & Lodging Payments,Homelessness Running Expenditure
07/02/2017,742366958,485.00,emmaus,Rent Allowance Cheques,Syrian
07/02/2017,742371782,203.30,travelodge gb0000,Board & Lodging Payments,Homelessness Running Expenditure
07/02/2017,742706908,128.00,premier inn44014645,Board & Lodging Payments,Homelessness Running Expenditure
07/02/2017,742356866,96.00,emmaus,Homeless Prevention,Private Lease Scheme
07/02/2017,742698045,84.19,jewsons,Materials,Landscape & Play
07/02/2017,742698045,84.19,jewsons,Materials,Landscape & Play
07/02/2017,742698045,84.19,jewsons,Materials,Landscape & Play
07/02/2017,742359492,60.00,oxford garden cent,Plants,Grounds Maintenance
07/02/2017,742364011,45.73,adobe  creative cloud,Software Purchase,Admin Review business improvement
07/02/2017,742370622,30.00,smith  low ltd,Furniture & Equipment Purchase,Homelessness Running Expenditure
07/02/2017,742361641,10.70,sainsburys s/mkts,Provisions,Museum Of Oxford
07/02/2017,742370624,5.95,smith  low ltd,Furniture & Equipment Purchase,Homelessness Running Expenditure
07/02/2017,742359436,2.50,paperchase,Furniture & Equipment Purchase,Tenants Associations Grants
08/02/2017,742686729,"1,038.14",carpets 4 less,Post Void Work - Redecoration Voucher,Compensation & Reimbursement Payments
08/02/2017,742723707,461.00,travelodge gb0000,Board & Lodging Payments,Homelessness Running Expenditure
08/02/2017,742714165,354.00,st john ambulance,Compliance Training (H&S),Learning & Development (GF)
08/02/2017,742706687,227.94,linkedin-312 7775004,Furniture & Equipment Purchase,Service requests (Env Protection)
08/02/2017,742724282,220.93,trainline,Public Transport,Works in Default
08/02/2017,742683671,175.00,amazon uk marketplace,Furniture & Equipment Purchase,Park Attendants & Facilities
08/02/2017,742697501,155.00,emmaus,Furniture & Equipment Purchase,Homelessness Running Expenditure
08/02/2017,742687512,139.99,argos ltd,Rent Allowance Cheques,Syrian
08/02/2017,742714292,98.80,sgp thames transit limit,Public Transport,Homelessness Running Expenditure
08/02/2017,742687311,82.20,dfsk parts ltd,Vehicle Maintenance,MT Services Account
08/02/2017,742697724,52.98,johnsons mazda oxf,Vehicle Maintenance,MT Services Account
08/02/2017,742707575,50.00,mip vodafone topup,External Telephone Charges,Park Attendants & Facilities
08/02/2017,742714384,31.44,safetyshop,Health & Safety,Facilities
08/02/2017,742686984,28.70,banbury station t/o,Travel And Subsistence,Active Sports Partnership
08/02/2017,742706753,23.85,marksspencer plc,Provisions,Tenants Associations Grants
08/02/2017,742697549,7.04,executive security,Furniture & Equipment Purchase,Homelessness Running Expenditure
09/02/2017,743047741,295.00,health screen,Health Screening,Public Conveniences
09/02/2017,743037061,287.00,beds to u,Homeless Prevention,Housing Options and Allocations
09/02/2017,743037179,270.28,amazon uk marketplace,Hardware Purchase,Mainframe Associated Costs
09/02/2017,743056591,210.00,paypal  rospa,Training Short Courses,OBS Administration
09/02/2017,743047310,206.70,gwr oxford to,Public Transport,Council Tax
09/02/2017,743065463,184.05,specsaversevougb-,Protective Clothing,Management
09/02/2017,743056587,121.00,oxford291office,Court Fees,Legal Services
09/02/2017,743047484,25.54,hotjar,Hardware Purchase,E FORMS REVIEW
09/02/2017,743034012,7.96,amazon uk marketplace,Books & Publications,Park Attendants & Facilities
09/02/2017,743056110,5.30,marksspencer plc,Provisions,Tenants Associations Grants
09/02/2017,743057018,4.45,post office counter,Postage & Carriage,Redbridge Pay & Display
10/02/2017,743465073,730.00,travelodge gb0000,Board & Lodging Payments,Homelessness Running Expenditure
10/02/2017,743471513,325.00,possessionclaim.go,Court Fees,Rents Team
10/02/2017,743471514,325.00,possessionclaim.go,Court Fees,Rents Team
10/02/2017,743465075,192.40,travelodge gb0000,Board & Lodging Payments,Homelessness Running Expenditure
10/02/2017,743465072,176.70,travelodge gb0000,Board & Lodging Payments,Homelessness Running Expenditure
10/02/2017,743460294,167.50,dvla vehicle tax,Vehicle Excise Licences,MT Services Account
10/02/2017,743471512,121.00,possessionclaim.go,Court Fees,Rents Team
10/02/2017,743471511,121.00,possessionclaim.go,Court Fees,Rents Team
10/02/2017,743460916,54.85,gwr websales,Public Transport,Homelessness Running Expenditure
10/02/2017,743466699,14.37,amazon uk retail amazon.,Furniture & Equipment Purchase,Park Attendants & Facilities
11/02/2017,743466665,57.99,amazon uk retail,Furniture & Equipment Purchase,Park Attendants & Facilities
13/02/2017,743869426,"6,000.00",www.carwebuk.com,Furniture & Equipment Maintenance & Repairs,MT Services Account
13/02/2017,743869678,381.60,www.prosol.co.uk,Furniture & Equipment Purchase,Performance and Quality
13/02/2017,743876751,270.00,travelodge gb0000,Subsistence,Universal Credits
13/02/2017,743867578,265.36,thames water web,Miscellaneous,Residential & Com. Property
13/02/2017,743867580,265.36,thames water web,Miscellaneous,Residential & Com. Property
13/02/2017,743867579,265.36,thames water web,Miscellaneous,Residential & Com. Property
13/02/2017,743867577,265.36,thames water web,Miscellaneous,Residential & Com. Property
13/02/2017,743869498,198.00,www.containercomponent,Refuse Containers,Trade Refuse
13/02/2017,743862351,135.00,beds to u,Homeless Prevention,Housing Options and Allocations
13/02/2017,743867651,100.50,the bonn square news,Electricity,Homelessness Running Expenditure
13/02/2017,743867987,79.46,trainline,Public Transport,Finance & Admin
13/02/2017,743863531,47.94,dfsk parts ltd,Vehicle Maintenance,MT Services Account
13/02/2017,743864823,33.83,homebase ltd 091,Furniture & Equipment Purchase,Homelessness Running Expenditure
13/02/2017,743865537,21.00,marksspencer plc,Provisions,Tenants Associations Grants
13/02/2017,743862597,11.86,bristol street pg,Vehicle Maintenance,MT Services Account
14/02/2017,744146688,"2,031.00",hmcts-tv031,Court Fees,Council Tax
14/02/2017,744146859,"1,692.00",intelligent servers,Hardware Purchase,Mainframe Associated Costs
14/02/2017,744131698,755.00,beds to u,Furniture & Equipment Purchase,Homelessness Running Expenditure
14/02/2017,744131542,437.00,bedstar limited,Homeless Prevention,Housing Options and Allocations
14/02/2017,744156345,355.00,oxford291office,Court Fees,Legal Services
14/02/2017,744156349,355.00,oxford291office,Court Fees,Legal Services
14/02/2017,744156348,355.00,oxford291office,Court Fees,Legal Services
14/02/2017,744156346,355.00,oxford291office,Court Fees,Legal Services
14/02/2017,744156347,355.00,oxford291office,Court Fees,Legal Services
14/02/2017,744156351,119.40,stoneridge electronics l,Vehicle Maintenance,MT Services Account
14/02/2017,744131732,85.50,amazon uk marketplace,Hardware Purchase,Mainframe Associated Costs
14/02/2017,744131696,58.95,argos ltd,Bond Payments Homeless,Private Lease Scheme
14/02/2017,744165379,52.50,virgintrainsec servcs,Public Transport,Fraud Hub
14/02/2017,744132281,38.11,adobe  creative cloud,Software Purchase,Media & Communications
14/02/2017,744132334,27.50,001 taxis,Public Transport,Homelessness Running Expenditure
14/02/2017,744165380,22.80,virgin trains,Public Transport,Benefit Investigation
14/02/2017,744165711,18.69,www.minilabel.co.uk,Contract Printing (External),City Centre - St Clements
14/02/2017,744132333,16.50,001 taxis,Public Transport,Homelessness Running Expenditure
14/02/2017,744146686,6.00,land registry,Other Miscellaneous Expenses,Bradlands - Refurbishment
14/02/2017,744146687,6.00,land registry,Other Miscellaneous Expenses,Bradlands - Refurbishment
14/02/2017,744156746,4.79,paypal  rice metals,General Contracted Services,City Centre-Gloucester Green
14/02/2017,744447249,3.64,rs components,Furniture & Equipment Purchase,City Centre-Gloucester Green
14/02/2017,744131697,2.99,argos ltd,Bond Payments Homeless,Private Lease Scheme
15/02/2017,744446041,"1,164.24",newsquest media,General Contracted Services,Empty Property Work
15/02/2017,744448790,258.40,travelodge gb0000,Board & Lodging Payments,Homelessness Running Expenditure
15/02/2017,744443255,105.00,dsa,Training Short Courses,OBS Administration
15/02/2017,744444269,85.00,health screen,Health Screening,Public Conveniences
15/02/2017,744448379,73.80,trainline,Public Transport,Finance & Admin
15/02/2017,744773142,71.81,trainline,Public Transport,YOUNG PERSONS DRUGS WORKER
15/02/2017,744448412,71.81,trainline,Public Transport,Service requests (Env Protection)
15/02/2017,744773141,65.38,trainline,Public Transport,SC PUBLICITY INFORMATION
15/02/2017,744447402,58.20,scania gb ltd,Vehicle Maintenance,MT Services Account
15/02/2017,744444482,49.80,hobbycraft,Furniture & Equipment Purchase,Tenants Associations Grants
15/02/2017,744443257,37.00,dsa theory test,Training Short Courses,OBS Administration
15/02/2017,744447395,28.50,savages blewbury l,General Contracted Services,Tenants Associations Grants
15/02/2017,744440590,18.00,001 taxis,Public Transport,Homelessness Running Expenditure
15/02/2017,744448344,14.79,tp-oxford sandy lane,General Contracted Services,Minor Works
15/02/2017,744448344,14.79,tp-oxford sandy lane,General Contracted Services,Minor Works
15/02/2017,744448344,14.79,tp-oxford sandy lane,General Contracted Services,Minor Works
15/02/2017,744446502,11.00,postoffice selfservice,Postage & Carriage,St Leonards Road
15/02/2017,744440658,10.00,aldi,Provisions,Tenants Associations Grants
16/02/2017,744773523,874.00,travelodge gb0000,Board & Lodging Payments,Homelessness Running Expenditure
16/02/2017,744770401,298.80,mag events,Conferences/Seminars,Youth Ambition Programme
16/02/2017,744772877,265.36,thames water web,Stamp Duty & Other Legal Fees,Residential & Com. Property
16/02/2017,744772882,265.36,thames water web,Stamp Duty & Other Legal Fees,Residential & Com. Property
16/02/2017,745197293,137.64,jewsons,Materials,Landscape & Play
16/02/2017,745197293,137.64,jewsons,Materials,Landscape & Play
16/02/2017,745197293,137.64,jewsons,Materials,Landscape & Play
16/02/2017,745197293,137.64,jewsons,Materials,Landscape & Play
16/02/2017,745197293,137.64,jewsons,Materials,Landscape & Play
16/02/2017,745197293,137.64,jewsons,Materials,Landscape & Play
16/02/2017,745197293,137.64,jewsons,Materials,Landscape & Play
16/02/2017,745197293,137.64,jewsons,Materials,Landscape & Play
16/02/2017,745197293,137.64,jewsons,Materials,Landscape & Play
16/02/2017,745197293,137.64,jewsons,Materials,Landscape & Play
16/02/2017,745197293,137.64,jewsons,Materials,Landscape & Play
16/02/2017,744770830,121.00,oxford291office,Court Fees,Legal Services
16/02/2017,744772300,93.00,southern regalia ltd,Uniforms,Lord Mayors Secretariat
16/02/2017,744770198,70.00,love2shop.co.uk,Other Miscellaneous Expenses,Youth Ambition Programme
16/02/2017,744768503,64.99,ee oxford - cornmarket,Hardware Purchase,Mainframe Associated Costs
16/02/2017,745195450,63.31,cpc,Furniture & Equipment Purchase,St Leonards Road
16/02/2017,744773522,42.75,travelodge gb0000,Board & Lodging Payments,Homelessness Running Expenditure
16/02/2017,744773953,10.00,wilko retail limit,Materials,Home Improvement Agency
16/02/2017,744773524,-122.55,travelodge gb0000,Board & Lodging Payments,Homelessness Running Expenditure
16/02/2017,744773525,-122.55,travelodge gb0000,Board & Lodging Payments,Homelessness Running Expenditure
17/02/2017,745192848,360.00,www.amberhawk.com,Conferences,Mainframe Associated Costs
17/02/2017,745201206,160.50,travelodge gb0000,Rent Allowance Cheques,Syrian
17/02/2017,745192992,138.00,www.professionalbooks.co,Category 'B' Stores,
17/02/2017,745191544,110.00,the cake shop oxford,Community Event,Tenants Associations Grants
17/02/2017,745191864,76.50,timpson ltd,Bond Payments Homeless,Homelessness Running Expenditure
17/02/2017,746942437,62.62,epson store uk,Software Purchase,Rose Hill Community Centre
17/02/2017,745198698,38.70,paypal  kovamanufac,Other,Lord Mayors Secretariat
17/02/2017,745191135,18.00,sgp thames transit limit,Travel And Subsistence,Active Sports Partnership
20/02/2017,745593649,580.22,eyre  elliston ltd,D2D,External Private Sector Works
20/02/2017,745593189,174.00,c i h,Other Miscellaneous Expenses,Environmental Enforcement
20/02/2017,745618192,103.68,the plastic box company,Materials,Tenants Associations Grants
20/02/2017,745588237,91.20,b r e,Conferences/Seminars,Carbon MAnagement
20/02/2017,745618267,71.81,trainline,Public Transport,Alcohol and Development
20/02/2017,745618778,63.70,virgin trains,Public Transport,Fraud Hub
20/02/2017,745593345,61.16,bma varsity ltd,Furniture & Equipment Purchase,Homelessness Running Expenditure
20/02/2017,745587957,43.94,amazon uk marketplace,Furniture & Equipment Purchase,Health Development
20/02/2017,745593190,28.80,fasthosts internet,External Telephone Charges,Service requests (Env Protection)
20/02/2017,745610086,11.38,screwfix oxford,Materials,Energy Efficiency Grants
20/02/2017,745610099,8.55,postoffice selfservice,Postage & Carriage,City Centre- Oxpens Car Park
20/02/2017,745601392,5.93,homebase ltd 091,Furniture & Equipment Purchase,Homelessness Running Expenditure
20/02/2017,745587786,5.00,asda home shopping,Provisions,Compensation & Reimbursement Payments
20/02/2017,745593257,-53.76,eyre  elliston ltd,D2D,External Private Sector Works
20/02/2017,745593259,-53.76,eyre  elliston ltd,D2D,External Private Sector Works
20/02/2017,745593256,-53.76,eyre  elliston ltd,D2D,External Private Sector Works
20/02/2017,745593258,-53.76,eyre  elliston ltd,D2D,External Private Sector Works
20/02/2017,745593260,-53.76,eyre  elliston ltd,D2D,External Private Sector Works
21/02/2017,745876440,"1,289.57",carpets 4 less,Materials,Compensation & Reimbursement Payments
21/02/2017,745876441,"1,098.75",carpets4less,Special Events,UNDEROCCUPATION
21/02/2017,745875677,641.96,ao retail limited,Furniture & Equipment Purchase,Compensation & Reimbursement Payments
21/02/2017,745882056,265.36,thames water web,Stamp Duty & Other Legal Fees,Residential & Com. Property
21/02/2017,745883815,154.22,www.sellesmedical.co.uk,Furniture & Equipment Purchase,Environmental Enforcement
21/02/2017,746201214,137.00,british a   125822313974,Public Transport,Finance & Admin
21/02/2017,745881625,59.98,smith  low ltd,Furniture & Equipment Purchase,Homelessness Running Expenditure
21/02/2017,745883827,43.46,www.theconsortium/wms,Materials,Museum Aspire Funding
21/02/2017,745883827,43.46,www.theconsortium/wms,Materials,Museum Aspire Funding
21/02/2017,745883827,43.46,www.theconsortium/wms,Materials,Museum Aspire Funding
21/02/2017,745883827,43.46,www.theconsortium/wms,Materials,Museum Aspire Funding
21/02/2017,745878780,37.96,homebase ltd 195,Materials,Compensation & Reimbursement Payments
21/02/2017,746208892,33.83,www.raileurope.co.uk,Public Transport,Finance & Admin
21/02/2017,745877104,30.20,delteys supermarke,Extra Void Work,North - Planned Maint.
21/02/2017,745883449,24.00,wilko retail limit,Furniture & Equipment Purchase,Homelessness Running Expenditure
21/02/2017,745875734,21.98,argos ltd,Furniture & Equipment Purchase,Compensation & Reimbursement Payments
21/02/2017,745875735,16.98,argos ltd,Furniture & Equipment Purchase,Compensation & Reimbursement Payments
21/02/2017,745881630,11.38,smith  low ltd,Furniture & Equipment Purchase,Homelessness Running Expenditure
21/02/2017,745876934,8.99,currys oxford city 282,Furniture & Equipment Purchase,Environmental Policy
21/02/2017,745881952,6.35,tesco stores 6292,Provisions,Museum Of Oxford
21/02/2017,745882359,-58.90,trainline,Public Transport,Finance & Admin
22/02/2017,746205532,900.00,paypal  thamestrain,Instructors & Coaching Fees,Tenants Associations Grants
22/02/2017,746201623,822.17,carpets 4 less,Extra Void Work,North - Planned Maint.
22/02/2017,746201590,822.17,carpets 4 less,Extra Void Work,North - Planned Maint.
22/02/2017,746201244,260.50,bucks recycling ltd,Special Events,UNDEROCCUPATION
22/02/2017,746204401,227.94,linkedin,Furniture & Equipment Purchase,Area Co-Ordinators
22/02/2017,746204482,180.00,leisurejobs.com,Advertising & Publicity,Town Hall Civic Management
22/02/2017,746207716,149.74,trainline,Public Transport,Members Support
22/02/2017,746205270,121.00,oxford291office,Court Fees,Legal Services
22/02/2017,746205271,100.00,oxford291office,Court Fees,Legal Services
22/02/2017,746208815,76.50,www.instantprint.c,Advertising & Publicity,Town Hall Civic Management
22/02/2017,746213964,70.00,paypal  ocva,Training Short Courses,Management Costs
22/02/2017,746209478,34.99,amazon uk retail,Materials,Museum Aspire Funding
22/02/2017,746199852,33.98,amazon uk marketplace,General Stationery Supplies,Cowley Marsh Depot Costs
22/02/2017,746215115,32.36,screwfix oxford,Energy Conservation,Energy Efficiency Grants
22/02/2017,746209522,31.86,amazon uk retail amazon.,Materials,Museum Aspire Funding
22/02/2017,746534942,29.48,amazon uk retail amazon.,Furniture & Equipment Purchase,Bldg.Design & Construction
22/02/2017,746206662,20.00,sainsburys s/mkt,Provisions,Tenants Associations Grants
22/02/2017,746206560,19.99,robert dyas holdng ltd,Furniture & Equipment Purchase,Museum Of Oxford
22/02/2017,746209449,16.18,amazon uk marketplace,Materials,Museum Aspire Funding
22/02/2017,745882736,10.93,uber gb feb21 mdye7 help,Public Transport,Fraud Hub
22/02/2017,746209523,9.80,amazon uk retail amazon.,Materials,Museum Aspire Funding
22/02/2017,746209521,9.79,amazon uk retail amazon.,Materials,Museum Aspire Funding
22/02/2017,746206841,3.99,scribbler,Furniture & Equipment Purchase,Finance & Admin
23/02/2017,746539796,325.00,possessionclaim.go,Court Fees,Rents Team
23/02/2017,746539795,325.00,possessionclaim.go,Court Fees,Rents Team
23/02/2017,746539797,325.00,possessionclaim.go,Court Fees,Rents Team
23/02/2017,746541448,265.36,thames water web,Stamp Duty & Other Legal Fees,Residential & Com. Property
